Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
512,36.6182,13.8916,37.4327,11.07
3375,153.077,47.9889,158.866,40.5997
17576,524.735,118.87,623.813,104.915
35937,1027.77,152.168,1079.03,141.086
79507,1907.72,175.618,2001.0,168.762
166375,2792.57,192.959,3279.61,189.502
343000,3444.56,203.495,4677.68,202.381
704969,4974.7,209.087,5688.88,207.453
1442897,4571.21,211.883,4767.73,210.475
2146689,4730.8,206.108,5037.91,206.34
4410944,4897.8,179.192,5334.65,179.101
